        momentum = 03
        dirac    = 04
        00      -1.25188e+02    8.10971e-01
        01      -1.83410e+02    4.52167e+00
        02      -1.75197e+02    7.20369e+00
        03      -8.58610e+01    6.76028e+00
        04      -4.43319e+01    4.92378e+00
        05      -2.20293e+01    3.81907e+00
        06      -9.58627e+00    3.12410e+00
        07      -2.91864e+00    2.02542e+00
        08      2.23216e-01     9.06090e-01
        09      1.03122e+00     3.21788e-02
        10      8.06370e-01     -4.60881e-01
        11      4.05961e-01     -5.76906e-01
        12      -8.34011e-02    -4.31127e-01
        13      -3.12873e-01    -1.18615e-01
        14      -3.09544e-01    7.98763e-02
        15      -9.21361e-02    1.67573e-01
        16      6.75675e-02     3.48613e-01
        17      6.90700e-02     4.58784e-01
        18      1.29369e-02     4.00047e-01
        19      -3.82277e-02    3.61413e-01
        20      -4.91647e-02    3.38057e-01
        21      -1.95037e-02    2.47044e-01
        22      2.20875e-02     1.28533e-01
        23      3.55697e-02     7.16299e-02
        24      2.96491e-02     6.08278e-02
        25      -5.02441e-02    1.81309e-02
        26      -1.40693e-01    -3.43322e-02
        27      -2.02056e-01    -8.62611e-02
        28      -2.73140e-01    -1.52558e-01
        29      -3.55262e-01    -1.96629e-01
        30      -3.39307e-01    -2.53422e-01
        31      -1.91840e-01    -2.63177e-01
        32      -8.00041e-02    -1.59608e-01
        33      1.16582e-01     -7.59093e-02
        34      3.97695e-01     -5.53682e-03
        35      5.24399e-01     7.01337e-02
        36      4.70411e-01     1.10145e-01
        37      -1.38686e-02    2.26393e-01
        38      -1.02910e+00    3.97037e-01
        39      -2.37789e+00    2.63815e-01
        40      -4.56757e+00    -1.97828e-01
        41      -8.30671e+00    -7.09927e-01
        42      -1.43251e+01    -8.67260e-01
        43      -2.42984e+01    -1.02477e+00
        44      -4.27417e+01    -1.15313e-01
        45      -7.80430e+01    2.08538e+00
        46      -1.59756e+02    4.87768e+00
        47      -1.69630e+02    2.95487e+00

        dirac    = 05
        00      7.99765e+02     -3.14069e+01
        01      6.76157e+02     -2.96647e+01
        02      4.69155e+02     -2.60759e+01
        03      3.42348e+02     -1.96127e+01
        04      2.65673e+02     -1.48530e+01
        05      2.13038e+02     -1.30688e+01
        06      1.73007e+02     -1.25063e+01
        07      1.40262e+02     -1.12638e+01
        08      1.13396e+02     -9.10799e+00
        09      9.20521e+01     -6.86229e+00
        10      7.51938e+01     -5.32359e+00
        11      6.18739e+01     -4.67932e+00
        12      5.11318e+01     -4.13122e+00
        13      4.22964e+01     -3.60584e+00
        14      3.51030e+01     -3.10466e+00
        15      2.90731e+01     -2.67092e+00
        16      2.40762e+01     -2.23929e+00
        17      2.01433e+01     -1.79724e+00
        18      1.69759e+01     -1.43284e+00
        19      1.45048e+01     -1.15131e+00
        20      1.26344e+01     -9.03437e-01
        21      1.12732e+01     -6.87199e-01
        22      1.03755e+01     -5.83172e-01
        23      9.92464e+00     -5.90120e-01
        24      9.80450e+00     -6.03221e-01
        25      9.99840e+00     -5.86680e-01
        26      1.05511e+01     -5.67282e-01
        27      1.14989e+01     -5.24896e-01
        28      1.28696e+01     -5.27542e-01
        29      1.47083e+01     -6.14716e-01
        30      1.70702e+01     -7.49068e-01
        31      2.00713e+01     -9.28367e-01
        32      2.38790e+01     -1.16300e+00
        33      2.86808e+01     -1.46982e+00
        34      3.47585e+01     -1.91064e+00
        35      4.22872e+01     -2.32885e+00
        36      5.13283e+01     -2.73424e+00
        37      6.26177e+01     -3.46406e+00
        38      7.64384e+01     -4.68959e+00
        39      9.31005e+01     -6.37477e+00
        40      1.13518e+02     -8.13310e+00
        41      1.38982e+02     -9.85112e+00
        42      1.70817e+02     -1.20282e+01
        43      2.12065e+02     -1.49964e+01
        44      2.65895e+02     -1.84296e+01
        45      3.40281e+02     -2.20453e+01
        46      4.63094e+02     -2.72321e+01
        47      6.69272e+02     -3.15967e+01

        dirac    = 06
        00      -5.78569e+01    1.48983e+01
        01      -3.97915e+01    7.36994e+00
        02      -1.23665e+01    1.88393e+00
        03      -1.41630e+00    1.44729e+00
        04      1.60875e-01     -3.49729e-04
        05      2.98495e-01     -1.42814e+00
        06      -4.46994e-01    -1.29457e+00
        07      -9.44981e-01    -4.17103e-01
        08      -9.75237e-01    -2.79622e-01
        09      -8.37924e-01    -1.29070e-01
        10      -6.76396e-01    2.66962e-01
        11      -6.29579e-01    3.89454e-01
        12      -4.86107e-01    4.51573e-01
        13      -3.76935e-01    5.57554e-01
        14      -1.84472e-01    4.44675e-01
        15      -7.60917e-02    3.54654e-01
        16      -8.57455e-02    3.31033e-01
        17      -2.00197e-03    2.49738e-01
        18      4.92376e-02     1.73010e-01
        19      2.19770e-02     8.17938e-02
        20      6.41425e-06     2.88930e-02
        21      -3.93304e-02    3.00809e-02
        22      -5.44284e-02    3.08487e-02
        23      -6.38907e-02    4.91483e-02
        24      -3.48812e-02    5.47727e-02
        25      3.53267e-03     2.04656e-02
        26      -2.45196e-03    -5.06625e-02
        27      -1.35633e-02    -6.97119e-02
        28      -2.52857e-02    -4.39333e-02
        29      -3.82483e-02    -2.55723e-02
        30      -7.18241e-02    5.13076e-03
        31      -7.04067e-02    -3.35559e-03
        32      -9.58295e-03    -3.13905e-02
        33      -1.65140e-02    -3.76039e-02
        34      -3.15120e-02    -8.23464e-03
        35      5.57557e-02     1.27609e-01
        36      2.44527e-01     1.45096e-01
        37      3.56077e-01     -9.02276e-02
        38      2.63933e-01     -3.33854e-01
        39      1.29941e-01     -6.19430e-01
        40      -1.54663e-01    -5.91919e-01
        41      -2.86231e-01    2.15294e-03
        42      -1.33407e-01    -4.51391e-02
        43      2.19857e-01     -8.46472e-01
        44      6.74326e-01     -2.43306e+00
        45      -5.73401e-02    -3.42093e+00
        46      -1.06184e+01    -3.37383e+00
        47      -3.92467e+01    6.63536e+00


        momentum = 04
        dirac    = 04
        00      3.04629e+00     -2.51280e+00
        01      4.81389e+00     -3.33925e-01
        02      5.31550e+00     -1.14241e+00
        03      3.74023e+00     -1.07558e+00
        04      2.18586e+00     -5.97342e-01
        05      1.18363e+00     -3.40655e-03
        06      8.00807e-01     5.69107e-01
        07      7.23563e-01     9.19314e-01
        08      1.02532e+00     7.25377e-01
        09      1.26656e+00     7.25291e-01
        10      1.22961e+00     3.82603e-01
        11      9.73403e-01     1.38777e-01
        12      8.16045e-01     5.50135e-02
        13      7.69590e-01     -1.28618e-01
        14      5.92817e-01     -2.17290e-01
        15      3.14249e-01     -1.04042e-01
        16      3.06105e-01     -6.82376e-02
        17      2.67028e-01     5.19068e-02
        18      1.68504e-01     1.18056e-01
        19      1.48794e-01     1.63706e-01
        20      1.28488e-01     1.39788e-01
        21      7.05631e-02     8.62799e-02
        22      4.06744e-02     4.80912e-02
        23      -4.43971e-03    -2.56024e-02
        24      -5.67135e-02    -4.69060e-02
        25      -5.78438e-02    -6.85212e-02
        26      -1.62617e-02    -9.22525e-02
        27      6.97937e-03     -7.54004e-02
        28      -8.44110e-03    -1.26251e-01
        29      4.85402e-03     -1.40726e-01
        30      -1.60320e-02    -1.86782e-01
        31      -3.25841e-03    -1.46627e-01
        32      5.32714e-02     -9.06952e-02
        33      2.70014e-02     6.78517e-02
        34      -4.67115e-02    3.89461e-01
        35      -9.94559e-02    8.32087e-01
        36      -1.95314e-01    1.19782e+00
        37      -2.58371e-01    1.38917e+00
        38      -2.82930e-01    1.31102e+00
        39      -2.70296e-01    9.38577e-01
        40      -3.84099e-01    1.13026e-01
        41      -4.88880e-01    -4.30970e-01
        42      -3.21782e-01    -7.05971e-01
        43      2.76350e-01     -5.30294e-01
        44      1.08489e+00     2.44965e-01
        45      1.43122e+00     1.20245e+00
        46      2.83224e+00     1.57919e+00
        47      3.66498e+00     5.25323e-01

        dirac    = 05
        00      4.16167e+00     1.51423e+00
        01      4.22110e+00     3.80325e+00
        02      1.97853e+00     2.30977e+00
        03      2.99973e+00     2.36019e+00
        04      2.79185e+00     3.15378e+00
        05      2.43981e+00     3.76777e+00
        06      1.45074e+00     4.12774e+00
        07      7.29414e-01     3.53546e+00
        08      -2.03860e-02    2.41307e+00
        09      -3.54633e-01    1.39070e+00
        10      -6.95290e-01    4.92019e-01
        11      -9.28572e-01    -2.58824e-02
        12      -7.70703e-01    -3.54424e-01
        13      -6.02787e-01    -5.07912e-01
        14      -3.94032e-01    -4.92883e-01
        15      -2.21566e-01    -4.21885e-01
        16      8.64054e-03     -3.68458e-01
        17      1.01520e-01     -3.44381e-01
        18      8.62985e-02     -3.36798e-01
        19      5.11871e-02     -3.33059e-01
        20      4.56361e-02     -3.24854e-01
        21      7.70670e-02     -2.76368e-01
        22      1.13880e-01     -2.37726e-01
        23      1.60313e-01     -1.86855e-01
        24      2.21813e-01     -1.51338e-01
        25      2.55038e-01     -1.65486e-01
        26      2.90395e-01     -1.55978e-01
        27      3.40309e-01     -1.60833e-01
        28      3.89601e-01     -1.52730e-01
        29      4.67295e-01     -8.62613e-02
        30      5.89263e-01     -7.68050e-02
        31      6.53260e-01     -7.19203e-02
        32      7.12014e-01     -1.67669e-01
        33      8.02548e-01     -1.14723e-01
        34      7.87953e-01     -1.25431e-01
        35      7.10601e-01     -1.34756e-01
        36      7.79902e-01     -1.91796e-01
        37      7.08923e-01     -3.39133e-01
        38      5.73753e-01     -4.78868e-01
        39      2.42200e-01     -3.85459e-01
        40      4.61766e-02     -3.30672e-02
        41      -2.53634e-01    4.01624e-01
        42      -1.58254e-01    9.67058e-01
        43      1.83712e-01     1.28455e+00
        44      3.15339e-01     1.74437e+00
        45      1.04112e+00     5.81960e-01
        46      1.46347e+00     -6.06824e-01
        47      3.50393e-01     -5.31588e-01

        dirac    = 06
        00      -2.42423e+00    4.21556e+00
        01      -2.74360e+00    9.21855e-01
        02      -4.31259e-02    8.21138e-01
        03      2.21098e-01     2.45421e-01
        04      6.94847e-01     6.19273e-01
        05      5.06537e-01     5.25844e-01
        06      3.42941e-01     1.48430e-01
        07      2.33016e-01     4.82707e-01
        08      5.46575e-01     1.71134e-01
        09      4.37200e-01     8.75649e-02
        10      2.60389e-01     9.40991e-02
        11      1.82950e-01     2.72639e-02
        12      1.58858e-01     2.15770e-02
        13      1.05084e-01     7.83359e-02
        14      5.56605e-02     1.30083e-01
        15      2.10108e-02     1.32485e-01
        16      5.31905e-02     1.31403e-01
        17      2.23055e-02     1.08065e-01
        18      -3.84501e-02    7.53819e-02
        19      -5.77626e-02    6.81208e-02
        20      -1.71121e-02    8.62241e-02
        21      -1.39828e-02    6.92436e-02
        22      -5.81649e-03    9.42194e-02
        23      2.78979e-04     7.67195e-02
        24      7.27493e-03     7.98869e-02
        25      -4.82639e-03    8.26138e-02
        26      -1.59759e-02    5.54871e-02
        27      2.36721e-02     5.39312e-02
        28      6.14393e-02     1.55991e-02
        29      7.13234e-02     3.49502e-02
        30      7.20975e-02     2.06618e-02
        31      5.40644e-02     1.97385e-03
        32      1.13556e-01     2.18987e-02
        33      9.53047e-02     4.16719e-02
        34      1.41299e-01     3.93267e-02
        35      1.73706e-01     -6.26233e-02
        36      2.08825e-01     -5.63934e-02
        37      3.40845e-01     -1.68933e-01
        38      3.48288e-01     -2.71765e-01
        39      3.13727e-01     -2.81896e-02
        40      2.64456e-01     3.42527e-01
        41      -2.78398e-01    2.03360e-01
        42      -1.49443e-01    -6.26287e-02
        43      -4.78640e-01    -3.57309e-01
        44      1.73517e-01     -1.28682e-01
        45      2.72096e-01     -7.07774e-04
        46      5.60191e-01     -1.04015e-01
        47      6.72293e-01     7.92237e-01

